cameras number, updateSteinerGrid, rayRemoving, shrinkManifold, shrinkSingle, shrinkSeveral, Remove vertices, Remove points, Add new vertices, Move vertices, Move Cameras, rayUntracing, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, InsertInBoundary, RemoveFromBoundary, isRegular, singleTest, addedPoints, movedPoints, Overall

190, 0.00121361, 0, 0.1182, 0.0907593, 0.0273774, 0, 0, 0.0282568, 0.0138071, 0, 0.0126658, 0.120284, 0.0194196, 0.137877, 0.0887436, 0.015969, 0.0150649, 0.0165174, 0.0926622, 0.108714, 1.231, 0.103, 0.711486, 
200, 0.00065343, 0, 0.137641, 0.0952623, 0.0423184, 0, 0, 0.0258994, 0.00678966, 0, 0.0136157, 0.128953, 0.03113, 0.0918973, 0.0799539, 0.0145762, 0.0166116, 0.0168117, 0.0978334, 0.0899334, 1.274, 0.076, 0.693594, 
210, 0.00068554, 0, 0.0723011, 0.0612388, 0.0110051, 0, 0, 0.0249279, 0.00719798, 0, 0.0185987, 0.130646, 0.0497165, 0.0913598, 0.0715097, 0.0154082, 0.0148186, 0.0119107, 0.0648259, 0.0712245, 1.078, 0.085, 0.66056, 
220, 0.0011332, 0, 0.077497, 0.0623167, 0.0151175, 0, 0, 0.0274793, 0.0114608, 0, 0.0317517, 0.135666, 0.0164141, 0.0659545, 0.0496838, 0.00955507, 0.0106581, 0.0104158, 0.051383, 0.0587698, 1.128, 0.118, 0.608782, 
230, 0.00069782, 0, 0.0744393, 0.059921, 0.0144349, 0, 0, 0.0285678, 0.0056143, 0, 0.0194143, 0.163807, 0.0194405, 0.068289, 0.0549062, 0.00980097, 0.0100461, 0.0100725, 0.0548809, 0.0529633, 1.237, 0.072, 0.635168, 
240, 0.00362826, 0, 0.108791, 0.0869108, 0.0218142, 0, 0, 0.0430752, 0.0361721, 0, 0.0544462, 0.156764, 0.0512755, 0.0787884, 0.0761941, 0.0131661, 0.0132056, 0.0133269, 0.0775184, 0.0790766, 1.395, 0.266, 0.828206, 
250, 0.00290978, 0, 0.138645, 0.106575, 0.0319956, 0, 0, 0.0238015, 0.0080934, 0, 0.007017, 0.0894291, 0.00937212, 0.103014, 0.0893707, 0.0146157, 0.016925, 0.0172418, 0.0956071, 0.0991374, 1.09, 0.098, 0.685331, 
260, 0.00157032, 0, 0.165478, 0.121236, 0.0441709, 0, 0, 0.0213472, 0.00625156, 0, 0.0100639, 0.102492, 0.0197222, 0.0964387, 0.110869, 0.0184591, 0.0163597, 0.0172167, 0.120576, 0.105382, 1.2, 0.044, 0.766018, 
270, 0.00145474, 0, 0.0757033, 0.0571293, 0.0185083, 0, 0, 0.0346224, 0.0175901, 0, 0.0257387, 0.170329, 0.0238565, 0.0654812, 0.0637199, 0.0110426, 0.00969351, 0.00948482, 0.0660838, 0.0501935, 1.409, 0.126, 0.712785, 
280, 0.0022, 0, 0.0853652, 0.0673137, 0.01799, 0, 0, 0.0457723, 0.0110771, 0, 0.0261812, 0.195526, 0.0765413, 0.123235, 0.0813158, 0.011955, 0.0220238, 0.0172915, 0.0793553, 0.0786888, 1.353, 0.118, 0.886335, 
290, 0.00144166, 0, 0.106427, 0.0841837, 0.0221889, 0, 0, 0.0512366, 0.0352124, 0, 0.0514243, 0.194652, 0.0647587, 0.0800823, 0.072986, 0.0129331, 0.0151041, 0.0146053, 0.0731809, 0.0668568, 1.435, 0.244, 0.914246, 
300, 0.00137963, 0, 0.113233, 0.0828625, 0.0302953, 0, 0, 0.0299646, 0.00633595, 0, 0.0147387, 0.10141, 0.035499, 0.0840132, 0.0927331, 0.0211012, 0.0149844, 0.0151556, 0.0937059, 0.0745975, 1.111, 0.073, 0.737244, 
310, 0.0030482, 0, 0.102332, 0.0787223, 0.0235137, 0, 0, 0.0320896, 0.00689933, 0, 0.00990407, 0.123977, 0.0211413, 0.070743, 0.0660434, 0.0132676, 0.0127149, 0.0128083, 0.0679729, 0.0607592, 1.32, 0.081, 0.701802, 
320, 3.5921e-05, 0, 0.145687, 0.11322, 0.0323842, 0, 0, 0.0276441, 0.0137466, 0, 0.0107168, 0.109806, 0.00933922, 0.0991987, 0.0904256, 0.0161526, 0.0202768, 0.0216498, 0.0969983, 0.0904087, 1.248, 0.13, 0.774369, 
