iteration, added, updated, ignored, duration[s], overall, 27841.9
95, 11, 136, 259, 22.6394
96, 7, 137, 237, 21.9097
97, 11, 129, 250, 21.7333
98, 4, 116, 258, 21.2432
99, 16, 93, 270, 19.1195
100, 13, 78, 192, 19.1839
101, 15, 62, 141, 18.6253
102, 12, 61, 129, 18.5336
103, 9, 61, 139, 18.8379
104, 12, 59, 131, 19.2227
105, 14, 67, 145, 19.4462
106, 20, 79, 193, 19.8197
107, 21, 99, 177, 20.5598
108, 35, 99, 210, 22.8423
109, 31, 123, 207, 23.3276
110, 34, 139, 193, 22.9136
111, 33, 151, 171, 23.4299
112, 42, 161, 147, 24.6856
113, 28, 179, 153, 25.5996
114, 31, 202, 150, 25.7694
115, 32, 207, 138, 26.6921
116, 48, 201, 118, 27.7181
117, 42, 208, 89, 28.074
118, 42, 226, 74, 31.4698
119, 28, 235, 106, 29.3746
120, 26, 247, 135, 30.2599
121, 14, 240, 175, 28.0793
122, 43, 196, 200, 32.4973
123, 44, 160, 227, 34.6347
124, 33, 150, 219, 32.3298
125, 31, 152, 204, 30.2806
126, 65, 153, 205, 33.8713
127, 58, 184, 187, 35.3195
128, 35, 220, 197, 30.4411
129, 28, 209, 175, 30.5959
130, 25, 232, 150, 30.9753
131, 11, 235, 152, 32.4355
132, 8, 232, 155, 32.5693
133, 13, 229, 162, 35.5722
134, 9, 200, 166, 34.1868
135, 8, 147, 152, 34.0893
136, 17, 138, 153, 32.4007
137, 6, 120, 135, 32.5571
138, 19, 103, 133, 32.8911
139, 30, 95, 127, 33.7075
140, 18, 91, 114, 34.0927
141, 9, 96, 78, 34.5199
142, 18, 98, 89, 34.5337
143, 16, 115, 128, 34.4398
144, 17, 117, 146, 34.8393
145, 27, 114, 163, 36.0203
146, 13, 119, 127, 38.0093
147, 19, 125, 101, 37.993
148, 30, 148, 96, 38.2936
149, 32, 146, 107, 39.1715
150, 35, 149, 104, 39.3028
151, 34, 187, 135, 39.6245
152, 42, 202, 182, 39.3823
153, 52, 223, 171, 41.451
154, 20, 239, 179, 39.957
155, 51, 214, 205, 48.3191
156, 28, 218, 178, 41.1663
157, 31, 207, 182, 47.1016
158, 19, 185, 167, 39.2746
159, 16, 154, 132, 38.8989
160, 19, 121, 146, 41.0322
161, 13, 126, 175, 39.5851
162, 11, 111, 165, 39.7886
163, 4, 114, 174, 40.3081
164, 14, 113, 178, 40.5706
165, 4, 112, 173, 40.5269
166, 3, 100, 183, 40.1898
167, 4, 86, 182, 40.2454
168, 4, 69, 181, 40.1462
169, 4, 59, 178, 40.8199
170, 5, 45, 151, 41.1502
171, 4, 34, 132, 40.7712
172, 6, 30, 131, 41.425
173, 4, 25, 132, 41.7342
174, 2, 25, 109, 42.0531
175, 12, 26, 103, 42.2094
176, 18, 34, 109, 42.2371
177, 21, 42, 111, 42.4093
178, 6, 57, 115, 42.0936
179, 12, 56, 123, 42.4035
180, 9, 61, 148, 42.3451
181, 6, 72, 164, 42.0145
182, 7, 74, 160, 41.6483
183, 7, 71, 170, 41.6248
184, 16, 65, 132, 42.3388
185, 19, 70, 154, 42.0353
186, 6, 75, 152, 42.091
187, 8, 83, 133, 43.0445
188, 22, 76, 153, 42.2492
189, 7, 94, 145, 42.5178
190, 12, 88, 134, 43.2425
191, 5, 95, 114, 44.4314
192, 14, 81, 122, 43.94
193, 12, 83, 119, 43.4046
194, 24, 88, 127, 44.1637
195, 13, 94, 153, 44.1974
196, 17, 98, 168, 44.947
197, 21, 103, 193, 44.9792
198, 27, 114, 203, 45.223
199, 24, 122, 215, 44.1825
200, 20, 141, 229, 44.8624
201, 12, 149, 249, 45.2866
202, 9, 147, 223, 45.0401
203, 47, 139, 243, 45.4725
204, 21, 162, 267, 44.7085
205, 7, 158, 241, 46.4537
206, 29, 131, 204, 45.4173
207, 19, 117, 190, 45.2139
208, 25, 110, 176, 45.5759
209, 14, 111, 197, 45.0725
210, 13, 102, 221, 45.7599
211, 18, 109, 208, 46.496
212, 18, 96, 178, 46.5233
213, 14, 104, 154, 46.6911
214, 7, 109, 146, 46.1054
215, 5, 110, 126, 46.4967
216, 15, 108, 113, 47.8182
217, 10, 113, 116, 47.1816
218, 9, 91, 128, 46.9415
219, 30, 74, 125, 49.03
220, 10, 85, 139, 49.0396
221, 20, 77, 135, 49.4026
222, 11, 84, 104, 47.9394
223, 15, 92, 102, 51.2999
224, 19, 104, 119, 49.3986
225, 11, 104, 109, 48.9062
226, 11, 115, 123, 49.2638
227, 10, 115, 133, 49.3089
228, 13, 102, 127, 49.4778
229, 19, 95, 157, 49.78
230, 17, 107, 156, 49.9605
231, 12, 119, 158, 49.9016
232, 14, 125, 149, 50.6926
233, 37, 125, 143, 51.1902
234, 23, 147, 163, 52.7302
235, 35, 143, 193, 53.9211
236, 18, 156, 213, 53.7534
237, 24, 160, 211, 51.8306
238, 27, 162, 261, 51.5644
239, 14, 161, 244, 52.2
240, 12, 166, 217, 53.7825
241, 8, 149, 186, 52.3879
242, 11, 152, 150, 53.157
243, 5, 129, 188, 52.8465
244, 4, 130, 220, 52.7578
245, 5, 111, 230, 54.2157
