cameras number, updateSteinerGrid, shrinkManifold, shrinkSingle, shrinkSeveral, Add new vertices, Move vertices, Move Cameras, rayUntracing, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, InsertInBoundary, RemoveFromBoundary, Overall

4, 0.008396, 0.018909, 0.011445, 0.006903, 0.042057, 0, 0, 0, 0.152517, 0, 0.041874, 0.015367, 0.017808, 0.00464719, 0.00355232, 0.299933, 
8, 5e-06, 0.082421, 0.066708, 0.015248, 0.101462, 0, 0, 0, 0.218616, 0.167827, 0.093137, 0.016649, 0.017087, 0.0158595, 0.0149486, 0.709504, 
12, 1e-05, 0.181737, 0.156478, 0.02427, 0.079758, 0, 0, 0, 0.180944, 0.156232, 0.140999, 0.017629, 0.016123, 0.0270311, 0.0254669, 0.779393, 
16, 0.001181, 0.217311, 0.195201, 0.021699, 0.049316, 0, 0, 0, 0.16802, 0.101157, 0.192072, 0.01933, 0.018363, 0.0370713, 0.0368756, 0.772685, 
20, 6e-06, 0.397567, 0.368142, 0.0247, 0.05264, 0, 0, 0, 0.200505, 0.066796, 0.241668, 0.017928, 0.017269, 0.0497694, 0.110231, 0.997344, 
24, 0.001194, 0.376867, 0.309214, 0.066949, 0.061846, 0, 0, 0, 0.208183, 0.095211, 0.266458, 0.021024, 0.020603, 0.0499583, 0.0489327, 1.05421, 
28, 0.000344, 0.43925, 0.376943, 0.061885, 0.065404, 0, 0, 0, 0.22964, 0.178869, 0.408319, 0.02273, 0.022608, 0.0635558, 0.061484, 1.37444, 
32, 0.00565, 0.377524, 0.31184, 0.065231, 0.0824, 0, 0, 0, 0.229564, 0.126122, 0.270114, 0.036874, 0.026501, 0.0543428, 0.0533424, 1.32774, 
36, 5e-06, 0.540169, 0.437145, 0.102623, 0.089669, 0, 0, 0, 0.335351, 0.173901, 0.387047, 0.034017, 0.025473, 0.0708807, 0.0715737, 1.59904, 
40, 6e-06, 0.557047, 0.465812, 0.090813, 0.13633, 0, 0, 0, 0.297457, 0.199332, 0.386818, 0.033599, 0.030454, 0.0764548, 0.0730688, 1.64904, 
44, 0.001382, 0.474169, 0.395924, 0.077784, 0.096652, 0, 0, 0, 0.233259, 0.213692, 0.391431, 0.04001, 0.028482, 0.0814975, 0.0754996, 1.48659, 
48, 0.006614, 0.587474, 0.475146, 0.111863, 0.062275, 0, 0, 0, 0.12739, 0.079643, 0.44292, 0.025315, 0.027882, 0.0882763, 0.0863488, 1.36461, 
52, 4e-06, 0.623256, 0.565175, 0.057668, 0.062001, 0, 0, 0, 0.182206, 0.057636, 0.54089, 0.039444, 0.038817, 0.107832, 0.103031, 1.55496, 
56, 5e-06, 0.935365, 0.709512, 0.225467, 0.050864, 0, 0, 0, 0.141063, 0.054545, 0.544481, 0.028396, 0.031563, 0.106868, 0.111199, 1.79123, 
60, 0.005851, 0.507253, 0.372011, 0.134794, 0.083642, 0, 0, 0, 0.246461, 0.105366, 0.372728, 0.073999, 0.040921, 0.0727073, 0.0684276, 1.44068, 
64, 6e-06, 0.437478, 0.389818, 0.047257, 0.053167, 0, 0, 0, 0.153795, 0.080659, 0.325508, 0.072074, 0.045019, 0.0668516, 0.0660817, 1.41999, 
68, 0.002531, 0.211671, 0.189108, 0.022121, 0.059541, 0, 0, 0, 0.148238, 0.105416, 0.264003, 0.077214, 0.045027, 0.0418806, 0.0400314, 0.931943, 
72, 6e-06, 0.369398, 0.295215, 0.073791, 0.070847, 0, 0, 0, 0.15862, 0.154608, 0.281197, 0.062336, 0.034365, 0.0575795, 0.0572424, 1.13616, 
