Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
41, 4, 413, 0, 85, 0.869327, 2123, 2278, 0, 30861, 30558, 45400, 16174, 15646, 0.655928, 14848, 922, 17921, 93, 
42, 4, 611, 0, 0, 0.867963, 2602, 2776, 0, 35920, 35430, 51914, 18438, 17859, 0.656465, 16975, 1037, 21002, 143, 
43, 4, 530, 0, 55, 0.867473, 2060, 3407, 0, 41240, 40807, 65338, 22605, 20863, 0.681043, 19661, 1484, 23692, 134, 
44, 4, 478, 0, 0, 0.86415, 1612, 1427, 0, 45937, 45560, 77721, 22822, 23543, 0.697364, 22362, 1464, 26143, 141, 
45, 4, 489, 0, 0, 0.874453, 1743, 995, 0, 50677, 50282, 86533, 25159, 25940, 0.700479, 24593, 1691, 28775, 181, 
46, 4, 516, 0, 55, 0.890785, 1660, 1186, 0, 55536, 55074, 97254, 29352, 28546, 0.706697, 26952, 2004, 31384, 165, 
47, 4, 502, 0, 0, 0.895439, 1511, 1430, 0, 60040, 59544, 108236, 31975, 31022, 0.713576, 29223, 2326, 33695, 243, 
48, 4, 503, 0, 55, 0.891442, 1674, 1392, 0, 52679, 52235, 106323, 30413, 26887, 0.747803, 24696, 2546, 29589, 173, 
49, 4, 495, 0, 0, 0.88528, 1620, 1228, 0, 57179, 56747, 113126, 31365, 29416, 0.740611, 27283, 2488, 32003, 202, 
50, 4, 374, 0, 55, 0.882925, 1272, 1597, 0, 29181, 28812, 58466, 17145, 14693, 0.748941, 13574, 1469, 16702, 64, 
51, 4, 444, 0, 0, 0.890124, 1304, 1130, 0, 32716, 32316, 62561, 17608, 16472, 0.736915, 15402, 1364, 18872, 86, 
52, 4, 500, 0, 55, 0.897899, 1699, 1060, 0, 27436, 26977, 43713, 13496, 13615, 0.689474, 12879, 881, 16176, 56, 
53, 4, 423, 0, 0, 0.899549, 1501, 1336, 0, 31653, 31301, 51962, 16395, 16060, 0.691646, 15169, 1063, 18362, 80, 
54, 4, 465, 0, 55, 0.893836, 1578, 1491, 0, 25434, 25079, 42005, 16229, 12241, 0.708991, 11116, 1493, 15032, 69, 
55, 4, 463, 0, 0, 0.882737, 1678, 1030, 0, 29761, 29325, 50394, 17410, 14749, 0.707599, 13714, 1360, 17243, 80, 
56, 4, 493, 0, 0, 0.868643, 2225, 1684, 0, 34090, 33735, 58062, 19370, 16920, 0.708823, 15681, 1636, 19762, 83, 
57, 4, 533, 0, 55, 0.870039, 2543, 2919, 0, 31434, 30999, 52978, 16451, 15327, 0.711106, 14258, 1335, 18349, 68, 
58, 4, 605, 0, 120, 0.873102, 1871, 3296, 0, 41763, 41083, 73994, 22578, 20772, 0.719619, 19319, 1870, 23891, 154, 
