Iteration, Updated Cameras, Added Points, Moved Points, Inserted Steiner Points, Tracing Index Cache Hit Ratio, Traced Rays, Retraced Rays, Untraced Rays, Insert In Boundary, Remove From Boundary, Single Cell Test, Is Regular Test, Enclosing Cells, Enclosing Volume Cache Hit, Shrinked Singular, Shrinked Several, Grown Singular, Grown Several
42, 1, 148, 79, 50, 0.890772, 583, 1115, 191, 17972, 17797, 27787, 16408, 11145, 0.599245, 10749, 398, 11373, 138, 
43, 1, 137, 95, 0, 0.892241, 622, 1815, 243, 18368, 18250, 29048, 17927, 11509, 0.604107, 11049, 462, 11584, 134, 
44, 1, 106, 78, 50, 0.895262, 535, 732, 205, 18699, 18592, 29701, 18596, 11716, 0.60584, 11247, 471, 11797, 164, 
45, 1, 139, 68, 0, 0.891982, 591, 433, 212, 19210, 19045, 30167, 19178, 11959, 0.603875, 11478, 483, 12187, 148, 
46, 1, 146, 78, 0, 0.894557, 673, 529, 249, 19695, 19573, 31579, 20260, 12333, 0.60974, 11794, 541, 12466, 145, 
47, 1, 91, 80, 0, 0.895176, 600, 441, 292, 20011, 19910, 31905, 19776, 12609, 0.60508, 12103, 508, 12642, 131, 
48, 1, 83, 72, 0, 0.898405, 565, 452, 298, 20196, 20130, 31973, 20031, 12771, 0.600856, 12277, 496, 12755, 142, 
49, 1, 112, 88, 0, 0.891811, 723, 524, 372, 20645, 20505, 32885, 21229, 12895, 0.60815, 12323, 574, 13136, 152, 
50, 1, 97, 110, 0, 0.895672, 828, 393, 451, 26343, 26285, 43672, 28323, 16643, 0.619223, 15769, 875, 16517, 240, 
51, 1, 142, 100, 0, 0.900451, 904, 655, 434, 23087, 22922, 36676, 24294, 14412, 0.607933, 13651, 741, 14597, 186, 
52, 1, 151, 122, 0, 0.902042, 1057, 801, 519, 22012, 21843, 34522, 21794, 13756, 0.601772, 13166, 589, 13927, 190, 
53, 1, 131, 124, 50, 0.904, 1028, 1095, 546, 24155, 23994, 38397, 25410, 15141, 0.6064, 14351, 793, 15231, 202, 
54, 1, 134, 142, 0, 0.900218, 1139, 1159, 637, 24531, 24438, 38984, 25751, 15430, 0.604805, 14641, 792, 15497, 184, 
55, 1, 185, 112, 0, 0.901816, 1103, 1491, 496, 25317, 25087, 39441, 26269, 15678, 0.603099, 14904, 777, 16115, 197, 
56, 1, 165, 98, 0, 0.900901, 905, 1755, 398, 26129, 25952, 41876, 27545, 16270, 0.612028, 15348, 964, 16537, 186, 
57, 1, 123, 86, 0, 0.900123, 793, 1491, 338, 26731, 26593, 41922, 27290, 16720, 0.601734, 15921, 802, 16899, 192, 
58, 1, 128, 85, 0, 0.899778, 813, 1419, 402, 27258, 27096, 42960, 27974, 17088, 0.602789, 16276, 815, 17156, 232, 
59, 1, 122, 84, 0, 0.898472, 807, 1258, 434, 27531, 27421, 43768, 28929, 17385, 0.603336, 16518, 870, 17319, 208, 
60, 1, 109, 97, 0, 0.890673, 896, 1212, 503, 27723, 27669, 44046, 28760, 17524, 0.602684, 16676, 851, 17485, 204, 
61, 1, 104, 90, 0, 0.887648, 934, 915, 521, 15324, 15232, 23006, 17666, 9581, 0.586794, 8821, 760, 9731, 69, 
62, 1, 142, 103, 50, 0.88905, 990, 1138, 540, 15668, 15514, 23781, 18150, 9774, 0.591917, 9039, 714, 9933, 105, 
63, 1, 105, 103, 0, 0.890877, 914, 1024, 545, 16117, 15998, 24002, 18478, 10061, 0.583792, 9275, 763, 10292, 64, 
64, 1, 84, 105, 0, 0.891258, 877, 1159, 548, 16478, 16370, 24288, 18652, 10379, 0.575657, 9650, 706, 10419, 99, 
65, 1, 119, 92, 0, 0.894917, 890, 1261, 495, 16818, 16730, 25211, 19088, 10541, 0.584706, 9758, 760, 10740, 64, 
66, 1, 120, 100, 0, 0.890869, 889, 1413, 463, 15704, 15516, 22683, 16462, 9795, 0.570602, 9234, 534, 10060, 72, 
67, 1, 103, 117, 0, 0.890131, 935, 1483, 562, 16191, 16115, 23948, 17608, 10153, 0.578189, 9518, 614, 10335, 109, 
68, 1, 111, 135, 0, 0.887439, 941, 1749, 548, 16678, 16490, 24719, 18622, 10463, 0.578801, 9800, 644, 10509, 186, 
69, 1, 125, 87, 0, 0.887171, 707, 1606, 359, 17234, 17123, 26017, 19800, 10715, 0.590076, 9959, 736, 11106, 80, 
70, 1, 166, 94, 0, 0.89139, 774, 1187, 325, 10869, 10687, 16379, 12380, 6699, 0.5913, 6399, 298, 6999, 104, 
71, 1, 116, 125, 0, 0.900233, 740, 999, 353, 18563, 18456, 28434, 20942, 11612, 0.59336, 10842, 750, 11803, 109, 
72, 1, 124, 121, 0, 0.890545, 776, 756, 366, 19096, 18945, 30942, 20798, 11933, 0.615858, 11220, 692, 12078, 157, 
73, 1, 103, 114, 0, 0.889229, 717, 535, 361, 19551, 19422, 32402, 21723, 12256, 0.623171, 11473, 762, 12371, 146, 
74, 1, 125, 71, 0, 0.899635, 572, 338, 213, 18985, 18854, 31748, 20817, 11958, 0.62447, 11260, 656, 12038, 146, 
75, 1, 141, 75, 0, 0.895506, 624, 406, 209, 19448, 19311, 31759, 21226, 12226, 0.616186, 11504, 680, 12364, 146, 
76, 1, 114, 76, 0, 0.892779, 567, 477, 218, 19893, 19768, 32381, 21190, 12552, 0.613499, 11837, 673, 12620, 146, 
77, 1, 132, 77, 50, 0.896878, 655, 539, 243, 20301, 20171, 32848, 21531, 12808, 0.611207, 12093, 673, 12897, 146, 
78, 1, 137, 84, 0, 0.893046, 712, 816, 285, 20797, 20637, 33389, 21820, 13085, 0.609216, 12364, 679, 13236, 156, 
79, 1, 133, 93, 0, 0.891302, 779, 879, 341, 21321, 21175, 34577, 22698, 13434, 0.61254, 12663, 729, 13581, 146, 
80, 1, 95, 95, 0, 0.891435, 678, 807, 328, 21795, 21691, 34512, 22119, 13769, 0.602133, 13054, 673, 13862, 150, 
81, 1, 107, 98, 0, 0.894713, 788, 700, 386, 22247, 22119, 35772, 23483, 14054, 0.608163, 13283, 729, 14133, 150, 
82, 1, 117, 88, 0, 0.893665, 773, 848, 359, 21597, 21478, 34385, 22862, 13752, 0.600627, 13084, 640, 13689, 194, 
83, 1, 121, 90, 0, 0.895817, 789, 734, 368, 22004, 21862, 37604, 23958, 13904, 0.630733, 13201, 682, 14054, 196, 
84, 1, 108, 88, 0, 0.891524, 796, 746, 374, 22593, 22461, 38403, 23963, 14271, 0.628862, 13579, 671, 14458, 155, 
85, 1, 116, 73, 50, 0.894907, 736, 991, 318, 17957, 17832, 29827, 18364, 11279, 0.622005, 10836, 448, 11502, 125, 
86, 1, 176, 73, 0, 0.89978, 903, 825, 294, 18508, 18340, 30809, 19115, 11619, 0.62298, 11179, 448, 11831, 129, 
87, 1, 171, 117, 0, 0.89991, 1092, 973, 499, 19109, 18907, 31664, 20122, 11952, 0.622644, 11472, 488, 12254, 143, 
88, 1, 154, 119, 0, 0.896705, 1097, 1314, 521, 19613, 19458, 33134, 21430, 12389, 0.626196, 11845, 552, 12525, 140, 
89, 1, 124, 120, 0, 0.890899, 1057, 1376, 582, 8450, 8389, 10891, 9420, 5326, 0.512271, 5029, 283, 5555, 14, 
90, 1, 137, 108, 0, 0.893938, 1015, 1316, 526, 9007, 8835, 11249, 9147, 5581, 0.505011, 5345, 224, 5921, 9, 
91, 1, 155, 108, 0, 0.890157, 1038, 1649, 510, 9615, 9440, 12307, 9166, 5942, 0.518203, 5742, 188, 6340, 9, 
92, 1, 106, 110, 50, 0.892806, 967, 1606, 545, 10101, 9990, 12987, 9205, 6361, 0.511181, 6157, 192, 6571, 20, 
93, 1, 119, 102, 0, 0.890608, 996, 1284, 538, 10480, 10362, 13927, 10302, 6603, 0.526768, 6351, 240, 6813, 26, 
94, 1, 135, 120, 0, 0.889427, 1112, 1065, 600, 11002, 10851, 14289, 10614, 6851, 0.521411, 6616, 223, 7191, 41, 
95, 1, 136, 95, 0, 0.890369, 1017, 1207, 498, 11603, 11469, 16247, 12462, 7220, 0.55632, 6858, 374, 7545, 47, 
96, 1, 135, 102, 0, 0.892913, 952, 1107, 495, 8691, 8570, 13521, 9029, 5349, 0.605123, 5097, 264, 5633, 23, 
97, 1, 127, 66, 0, 0.894337, 749, 1240, 346, 9210, 9076, 13689, 9344, 5636, 0.588823, 5376, 280, 5976, 26, 
98, 1, 142, 73, 0, 0.90105, 791, 920, 367, 9676, 9529, 15000, 10437, 5957, 0.603343, 5625, 377, 6225, 31, 
99, 1, 160, 88, 50, 0.906629, 928, 893, 382, 10271, 10100, 15233, 10521, 6236, 0.591109, 5938, 318, 6721, 23, 
100, 1, 143, 95, 0, 0.9045, 883, 1104, 406, 10891, 10741, 16038, 10888, 6724, 0.581216, 6435, 309, 7001, 46, 
101, 1, 148, 103, 0, 0.898588, 1034, 1065, 473, 11367, 11216, 16933, 11829, 7027, 0.585452, 6711, 336, 7317, 54, 
102, 1, 172, 122, 0, 0.895911, 1169, 979, 575, 11881, 11738, 18073, 13156, 7336, 0.594495, 6938, 433, 7654, 57, 
103, 1, 174, 121, 0, 0.892126, 1166, 1277, 541, 12567, 12381, 18168, 12585, 7691, 0.577092, 7350, 361, 8153, 47, 
104, 1, 166, 114, 0, 0.888819, 1085, 1635, 543, 13241, 13061, 19247, 13459, 8179, 0.575448, 7809, 391, 8529, 42, 
105, 1, 158, 113, 0, 0.88835, 1123, 1224, 577, 13795, 13624, 19763, 13450, 8552, 0.567666, 8203, 368, 8888, 46, 
106, 1, 157, 108, 0, 0.882351, 1020, 1060, 514, 11634, 11461, 15676, 11576, 7183, 0.542367, 6844, 329, 7517, 49, 
107, 1, 125, 80, 0, 0.880762, 730, 1271, 355, 12198, 12054, 16411, 11631, 7570, 0.539117, 7237, 329, 7859, 51, 
108, 1, 169, 55, 50, 0.880164, 692, 1526, 254, 12821, 12652, 17328, 12691, 7914, 0.543651, 7546, 364, 8287, 46, 
109, 1, 147, 41, 0, 0.886787, 567, 1276, 179, 13408, 13254, 18597, 12326, 8337, 0.552039, 7994, 339, 8617, 49, 
110, 1, 110, 45, 0, 0.88388, 460, 1228, 162, 13787, 13684, 19186, 13557, 8670, 0.548438, 8289, 377, 8820, 46, 
111, 1, 136, 36, 0, 0.88004, 513, 1233, 135, 14283, 14141, 19129, 13520, 8870, 0.536645, 8510, 356, 9219, 46, 
112, 1, 156, 72, 0, 0.870937, 664, 680, 234, 11487, 11309, 14889, 11237, 7134, 0.522234, 6831, 251, 7409, 32, 
113, 1, 97, 87, 0, 0.872293, 699, 781, 334, 11900, 11794, 15650, 11624, 7492, 0.522559, 7187, 254, 7627, 46, 
114, 1, 146, 106, 0, 0.875948, 921, 770, 447, 12222, 12121, 16549, 12809, 7724, 0.534446, 7355, 318, 7830, 39, 
115, 1, 159, 123, 50, 0.876239, 1081, 728, 508, 12755, 12572, 16687, 12714, 7920, 0.526571, 7577, 292, 8261, 46, 
116, 1, 115, 141, 0, 0.87631, 1065, 788, 626, 13250, 13122, 17744, 12969, 8358, 0.53008, 8017, 290, 8504, 43, 
117, 1, 160, 106, 0, 0.878623, 991, 1057, 487, 13821, 13661, 18306, 13665, 8598, 0.531393, 8205, 342, 8968, 38, 
