cameras number, updateSteinerGrid, shrinkManifold, shrinkSingle, shrinkSeveral, Add new vertices, Move vertices, Move Cameras, rayUntracing, rayTracing, rayRetracing, growManifold, growManifoldSev, growManifold, InsertInBoundary, RemoveFromBoundary, addedPoints, movedPoints, Overall

4, 0.00501, 0.055681, 0.03289, 0.021542, 0.085414, 0, 0, 0, 0.614509, 0, 0.215133, 0.065574, 0.090406, 0.0212813, 0.0350444, 3.26, 0, 1.1608, 
8, 6e-06, 0.441483, 0.397357, 0.043136, 0.234546, 0, 0, 0, 0.484646, 0.494513, 0.225971, 0.238861, 0.031379, 0.0496969, 0.0816034, 2.43, 0, 2.15654, 
12, 5e-06, 0.451001, 0.365915, 0.084551, 0.188577, 0, 0, 0, 0.410538, 0.292333, 0.386195, 0.032237, 0.03387, 0.0764974, 0.0796698, 2.655, 0, 1.80625, 
16, 0.001202, 0.684327, 0.634587, 0.046944, 0.15975, 0, 0, 0, 0.436982, 0.237329, 0.54623, 0.11071, 0.039117, 0.111613, 0.129921, 2.325, 0, 2.22564, 
20, 8e-06, 0.97559, 0.919446, 0.054231, 0.153729, 0, 0, 0, 0.431484, 0.159824, 0.720249, 0.235754, 0.04454, 0.151034, 0.156556, 2.26, 0, 2.7307, 
24, 0.001385, 1.15444, 0.883254, 0.270326, 0.202741, 0, 0, 0, 0.422394, 0.211009, 0.796506, 0.041366, 0.044663, 0.150004, 0.153522, 2.66, 0, 2.88004, 
28, 0.000228, 1.33055, 1.13825, 0.191815, 0.187729, 0, 0, 0, 0.477897, 0.259978, 1.01324, 0.074827, 0.047989, 0.181136, 0.186872, 2.82, 0, 3.41114, 
32, 0.005718, 0.930103, 0.777997, 0.151538, 0.232791, 0, 0, 0, 0.537528, 0.279983, 0.798496, 0.425449, 0.073267, 0.160147, 0.162738, 2.955, 0, 3.53917, 
36, 5e-06, 1.46627, 1.17889, 0.286913, 0.248467, 0, 0, 0, 0.71293, 0.344595, 1.03539, 0.08122, 0.067536, 0.20946, 0.203761, 2.68, 0, 3.96537, 
40, 1e-05, 1.33592, 1.13824, 0.197082, 0.276226, 0, 0, 0, 0.622641, 0.457441, 1.14789, 0.086853, 0.075438, 0.207478, 0.209166, 2.885, 0, 4.01721, 
44, 0.001797, 1.06644, 0.970954, 0.094877, 0.233655, 0, 0, 0, 0.483778, 0.38836, 1.11292, 0.06269, 0.068166, 0.205586, 0.207901, 3.185, 0, 3.4345, 
48, 0.006624, 1.31255, 1.20305, 0.108897, 0.199233, 0, 0, 0, 0.327404, 0.241314, 1.39902, 0.060477, 0.066445, 0.24793, 0.248338, 2.92, 0, 3.62276, 
52, 7e-06, 1.45304, 1.3069, 0.145619, 0.150563, 0, 0, 0, 0.372707, 0.14247, 1.61867, 0.061422, 0.066236, 0.285794, 0.285647, 2.51, 0, 3.87532, 
56, 5e-06, 1.67771, 1.49509, 0.182132, 0.140252, 0, 0, 0, 0.385543, 0.174465, 1.71377, 0.060972, 0.070729, 0.296368, 0.281405, 2.185, 0, 4.24746, 
60, 0.003379, 1.00502, 0.879133, 0.125281, 0.198856, 0, 0, 0, 0.450006, 0.28179, 0.98652, 0.071332, 0.084669, 0.174081, 0.172816, 3.065, 0, 3.08716, 
64, 5e-06, 0.983154, 0.932755, 0.049906, 0.143636, 0, 0, 0, 0.430858, 0.24601, 0.947437, 0.140242, 0.094183, 0.167127, 0.169668, 2.37, 0, 3.44374, 
68, 0.002941, 0.59394, 0.528959, 0.064461, 0.186118, 0, 0, 0, 0.469184, 0.284123, 0.581608, 0.061161, 0.067883, 0.104617, 0.110663, 2.33, 0, 2.25754, 
72, 6e-06, 1.01797, 0.837737, 0.179274, 0.306068, 0, 0, 0, 0.542973, 0.354175, 0.752168, 0.074726, 0.064777, 0.15194, 0.152814, 2.085, 0, 3.12003, 
76, 5e-06, 1.11816, 0.977346, 0.140212, 0.233155, 0, 0, 0, 0.417943, 0.429156, 1.03684, 0.110267, 0.080322, 0.184769, 0.184854, 2.85, 0, 3.43906, 
80, 6e-06, 1.70649, 1.32115, 0.384544, 0.186729, 0, 0, 0, 0.313448, 0.277594, 1.21406, 0.105678, 0.091595, 0.212321, 0.213939, 2.595, 0, 3.9027, 
84, 0.003395, 1.74008, 1.41677, 0.322777, 0.117868, 0, 0, 0, 0.349033, 0.127308, 1.47557, 0.097864, 0.134411, 0.237488, 0.229222, 2.555, 0, 4.05289, 
88, 6e-06, 2.13063, 1.72383, 0.406298, 0.141173, 0, 0, 0, 0.370686, 0.202094, 1.52619, 0.073616, 0.086731, 0.229607, 0.234499, 2.375, 0, 4.53977, 
92, 0.00345, 0.87026, 0.742751, 0.126529, 0.189133, 0, 0, 0, 0.533563, 0.202138, 0.666904, 0.288546, 0.101495, 0.127521, 0.121622, 2.9975, 0, 2.86884, 
